MatrixType,Size,Algorithm,BlockSize,ExecutionTime(ms)
稀疏矩阵,2000,blocked_optimized,16,1.89668
稀疏矩阵,2000,blocked_optimized,32,2.53751
稀疏矩阵,2000,blocked_optimized,64,3.11825
稀疏矩阵,2000,blocked_optimized,128,3.06828
稀疏矩阵,2000,blocked_optimized,256,3.36951
稀疏矩阵,3000,naive,0,73.085
稀疏矩阵,3000,cache_optimized,0,4.51938
稀疏矩阵,3000,openmp_simple,0,4.61563
稀疏矩阵,3000,openmp_optimized,0,4.87816
稀疏矩阵,3000,blocked,16,15.6235
稀疏矩阵,3000,blocked,32,17.3491
稀疏矩阵,3000,blocked,64,12.2441
稀疏矩阵,3000,blocked,128,17.3392
稀疏矩阵,3000,blocked,256,13.6168
稀疏矩阵,3000,blocked_optimized,16,4.14575
稀疏矩阵,3000,blocked_optimized,32,8.14703
稀疏矩阵,3000,blocked_optimized,64,10.5689
稀疏矩阵,3000,blocked_optimized,128,8.25699
稀疏矩阵,3000,blocked_optimized,256,10.8101
稀疏矩阵,4000,naive,0,100.945
稀疏矩阵,4000,cache_optimized,0,7.18588
稀疏矩阵,4000,openmp_simple,0,6.91221
稀疏矩阵,4000,openmp_optimized,0,7.17839
稀疏矩阵,4000,blocked,16,15.0953
稀疏矩阵,4000,blocked,32,28.1439
稀疏矩阵,4000,blocked,64,37.8077
稀疏矩阵,4000,blocked,128,62.7718
稀疏矩阵,4000,blocked,256,45.2787
稀疏矩阵,4000,blocked_optimized,16,14.6767
稀疏矩阵,4000,blocked_optimized,32,30.6321
稀疏矩阵,4000,blocked_optimized,64,46.232
稀疏矩阵,4000,blocked_optimized,128,30.8483
稀疏矩阵,4000,blocked_optimized,256,39.6233
希尔伯特矩阵,500,naive,0,0.731721
希尔伯特矩阵,500,cache_optimized,0,0.0677946
希尔伯特矩阵,500,openmp_simple,0,0.078498
希尔伯特矩阵,500,openmp_optimized,0,0.228234
希尔伯特矩阵,500,blocked,16,0.461412
希尔伯特矩阵,500,blocked,32,0.435149
希尔伯特矩阵,500,blocked,64,0.324008
希尔伯特矩阵,500,blocked,128,0.471828
希尔伯特矩阵,500,blocked,256,0.391734
希尔伯特矩阵,500,blocked_optimized,16,0.108869
希尔伯特矩阵,500,blocked_optimized,32,0.110357
希尔伯特矩阵,500,blocked_optimized,64,0.135229
希尔伯特矩阵,500,blocked_optimized,128,0.1516
希尔伯特矩阵,500,blocked_optimized,256,0.167752
希尔伯特矩阵,1000,naive,0,5.40888
希尔伯特矩阵,1000,cache_optimized,0,0.644372
希尔伯特矩阵,1000,openmp_simple,0,0.62566
希尔伯特矩阵,1000,openmp_optimized,0,0.605217
希尔伯特矩阵,1000,blocked,16,2.05312
希尔伯特矩阵,1000,blocked,32,2.39781
希尔伯特矩阵,1000,blocked,64,1.90351
希尔伯特矩阵,1000,blocked,128,1.91595
希尔伯特矩阵,1000,blocked,256,2.09009
希尔伯特矩阵,1000,blocked_optimized,16,0.994279
希尔伯特矩阵,1000,blocked_optimized,32,0.920725
希尔伯特矩阵,1000,blocked_optimized,64,1.33988
希尔伯特矩阵,1000,blocked_optimized,128,1.15076
希尔伯特矩阵,1000,blocked_optimized,256,1.23876
希尔伯特矩阵,2000,naive,0,43.3943
希尔伯特矩阵,2000,cache_optimized,0,3.59842
希尔伯特矩阵,2000,openmp_simple,0,3.50483
希尔伯特矩阵,2000,openmp_optimized,0,3.39397
希尔伯特矩阵,2000,blocked,16,8.03479
希尔伯特矩阵,2000,blocked,32,15.8148
希尔伯特矩阵,2000,blocked,64,17.8218
希尔伯特矩阵,2000,blocked,128,9.72186
希尔伯特矩阵,2000,blocked,256,10.749
希尔伯特矩阵,2000,blocked_optimized,16,3.5944
希尔伯特矩阵,2000,blocked_optimized,32,6.44175
希尔伯特矩阵,2000,blocked_optimized,64,7.86112
希尔伯特矩阵,2000,blocked_optimized,128,13.5292
希尔伯特矩阵,2000,blocked_optimized,256,17.7489
希尔伯特矩阵,3000,naive,0,108.849
希尔伯特矩阵,3000,cache_optimized,0,10.6296
希尔伯特矩阵,3000,openmp_simple,0,9.11101
希尔伯特矩阵,3000,openmp_optimized,0,8.15892
希尔伯特矩阵,3000,blocked,16,23.0092
希尔伯特矩阵,3000,blocked,32,21.5139
希尔伯特矩阵,3000,blocked,64,11.6128
希尔伯特矩阵,3000,blocked,128,10.7983
希尔伯特矩阵,3000,blocked,256,12.0146
希尔伯特矩阵,3000,blocked_optimized,16,4.03265
希尔伯特矩阵,3000,blocked_optimized,32,8.18396
希尔伯特矩阵,3000,blocked_optimized,64,10.1185
希尔伯特矩阵,3000,blocked_optimized,128,7.88129
希尔伯特矩阵,3000,blocked_optimized,256,9.7396
希尔伯特矩阵,4000,naive,0,104.314
希尔伯特矩阵,4000,cache_optimized,0,11.6001
希尔伯特矩阵,4000,openmp_simple,0,16.4236
希尔伯特矩阵,4000,openmp_optimized,0,16.3875
希尔伯特矩阵,4000,blocked,16,20.0947
希尔伯特矩阵,4000,blocked,32,29.929
希尔伯特矩阵,4000,blocked,64,21.7804
希尔伯特矩阵,4000,blocked,128,21.0447
希尔伯特矩阵,4000,blocked,256,22.0273
希尔伯特矩阵,4000,blocked_optimized,16,7.43102
希尔伯特矩阵,4000,blocked_optimized,32,13.5347
希尔伯特矩阵,4000,blocked_optimized,64,18.8883
希尔伯特矩阵,4000,blocked_optimized,128,13.8
希尔伯特矩阵,4000,blocked_optimized,256,18.8587
